method,base_blm,status,theta_min,theta_max,total_boundary_length,same_zone_boundary_length,candidate_boundary_length,aggregation_compactness,patch_count_8_neighbor,largest_patch_share_8_neighbor,total_conflict_cost,objective_value,target_min_achievement_ratio,target_achievement,baseline_overlap_share,solution_path
fixed_blm,1e-06,solved,0.2,1.0,174500.0,11372000.0,11546500.0,0.9848871952539731,64,0.9751067463706234,474596.0,1190.83,1.0,"{'Z2_UIZ': {'target_percent': 15, 'target_cells': 149, 'achieved_cells': 182, 'achievement_ratio': 1.221476510067114}, 'Z3_PSZ': {'target_percent': 15, 'target_cells': 185, 'achieved_cells': 194, 'achievement_ratio': 1.0486486486486486}, 'Z4_TZ': {'target_percent': 15, 'target_cells': 12, 'achieved_cells': 12, 'achievement_ratio': 1.0}, 'Z6_FZT': {'target_percent': 15, 'target_cells': 195, 'achieved_cells': 195, 'achievement_ratio': 1.0}}",,BLM_Calibration_real_macos_sweep/fixed_blm_blm_1e-06.gpkg
sci_adaptive_blm,1e-06,solved,0.2,1.0,174500.0,11372000.0,11546500.0,0.9848871952539731,64,0.9751067463706234,474596.0,1190.83,1.0,"{'Z2_UIZ': {'target_percent': 15, 'target_cells': 149, 'achieved_cells': 182, 'achievement_ratio': 1.221476510067114}, 'Z3_PSZ': {'target_percent': 15, 'target_cells': 185, 'achieved_cells': 194, 'achievement_ratio': 1.0486486486486486}, 'Z4_TZ': {'target_percent': 15, 'target_cells': 12, 'achieved_cells': 12, 'achievement_ratio': 1.0}, 'Z6_FZT': {'target_percent': 15, 'target_cells': 195, 'achieved_cells': 195, 'achievement_ratio': 1.0}}",1.0,BLM_Calibration_real_macos_sweep/sci_adaptive_blm_blm_1e-06.gpkg
fixed_blm,1e-05,solved,0.2,1.0,174000.0,11372500.0,11546500.0,0.9849304984194345,63,0.9751067463706234,474596.0,1190.86,1.0,"{'Z2_UIZ': {'target_percent': 15, 'target_cells': 149, 'achieved_cells': 182, 'achievement_ratio': 1.221476510067114}, 'Z3_PSZ': {'target_percent': 15, 'target_cells': 185, 'achieved_cells': 194, 'achievement_ratio': 1.0486486486486486}, 'Z4_TZ': {'target_percent': 15, 'target_cells': 12, 'achieved_cells': 12, 'achievement_ratio': 1.0}, 'Z6_FZT': {'target_percent': 15, 'target_cells': 195, 'achieved_cells': 195, 'achievement_ratio': 1.0}}",0.9999146029035013,BLM_Calibration_real_macos_sweep/fixed_blm_blm_1e-05.gpkg
sci_adaptive_blm,1e-05,solved,0.2,1.0,174500.0,11372000.0,11546500.0,0.9848871952539731,64,0.9751067463706234,474596.0,1190.84,1.0,"{'Z2_UIZ': {'target_percent': 15, 'target_cells': 149, 'achieved_cells': 182, 'achievement_ratio': 1.221476510067114}, 'Z3_PSZ': {'target_percent': 15, 'target_cells': 185, 'achieved_cells': 194, 'achievement_ratio': 1.0486486486486486}, 'Z4_TZ': {'target_percent': 15, 'target_cells': 12, 'achieved_cells': 12, 'achievement_ratio': 1.0}, 'Z6_FZT': {'target_percent': 15, 'target_cells': 195, 'achieved_cells': 195, 'achievement_ratio': 1.0}}",1.0,BLM_Calibration_real_macos_sweep/sci_adaptive_blm_blm_1e-05.gpkg
fixed_blm,0.0001,solved,0.2,1.0,173500.0,11373000.0,11546500.0,0.9849738015848959,62,0.9751067463706234,473966.0,1191.13,1.0,"{'Z2_UIZ': {'target_percent': 15, 'target_cells': 149, 'achieved_cells': 182, 'achievement_ratio': 1.221476510067114}, 'Z3_PSZ': {'target_percent': 15, 'target_cells': 185, 'achieved_cells': 194, 'achievement_ratio': 1.0486486486486486}, 'Z4_TZ': {'target_percent': 15, 'target_cells': 12, 'achieved_cells': 12, 'achievement_ratio': 1.0}, 'Z6_FZT': {'target_percent': 15, 'target_cells': 195, 'achieved_cells': 195, 'achievement_ratio': 1.0}}",0.9997865072587532,BLM_Calibration_real_macos_sweep/fixed_blm_blm_0.0001.gpkg
sci_adaptive_blm,0.0001,solved,0.2,1.0,174000.0,11372500.0,11546500.0,0.9849304984194345,63,0.9751067463706234,474596.0,1190.94,1.0,"{'Z2_UIZ': {'target_percent': 15, 'target_cells': 149, 'achieved_cells': 182, 'achievement_ratio': 1.221476510067114}, 'Z3_PSZ': {'target_percent': 15, 'target_cells': 185, 'achieved_cells': 194, 'achievement_ratio': 1.0486486486486486}, 'Z4_TZ': {'target_percent': 15, 'target_cells': 12, 'achieved_cells': 12, 'achievement_ratio': 1.0}, 'Z6_FZT': {'target_percent': 15, 'target_cells': 195, 'achieved_cells': 195, 'achievement_ratio': 1.0}}",0.9999146029035013,BLM_Calibration_real_macos_sweep/sci_adaptive_blm_blm_0.0001.gpkg
fixed_blm,0.0003,solved,0.2,1.0,171750.0,11374750.0,11546500.0,0.9851253626640107,60,0.9751067463706234,473966.0,1191.71,1.0,"{'Z2_UIZ': {'target_percent': 15, 'target_cells': 149, 'achieved_cells': 182, 'achievement_ratio': 1.221476510067114}, 'Z3_PSZ': {'target_percent': 15, 'target_cells': 185, 'achieved_cells': 194, 'achievement_ratio': 1.0486486486486486}, 'Z4_TZ': {'target_percent': 15, 'target_cells': 12, 'achieved_cells': 12, 'achievement_ratio': 1.0}, 'Z6_FZT': {'target_percent': 15, 'target_cells': 195, 'achieved_cells': 195, 'achievement_ratio': 1.0}}",0.9996157130657558,BLM_Calibration_real_macos_sweep/fixed_blm_blm_0.0003.gpkg
sci_adaptive_blm,0.0003,solved,0.2,1.0,173500.0,11373000.0,11546500.0,0.9849738015848959,62,0.9751067463706234,473966.0,1191.14,1.0,"{'Z2_UIZ': {'target_percent': 15, 'target_cells': 149, 'achieved_cells': 182, 'achievement_ratio': 1.221476510067114}, 'Z3_PSZ': {'target_percent': 15, 'target_cells': 185, 'achieved_cells': 194, 'achievement_ratio': 1.0486486486486486}, 'Z4_TZ': {'target_percent': 15, 'target_cells': 12, 'achieved_cells': 12, 'achievement_ratio': 1.0}, 'Z6_FZT': {'target_percent': 15, 'target_cells': 195, 'achieved_cells': 195, 'achievement_ratio': 1.0}}",0.9997865072587532,BLM_Calibration_real_macos_sweep/sci_adaptive_blm_blm_0.0003.gpkg
fixed_blm,0.001,solved,0.2,1.0,169500.0,11377000.0,11546500.0,0.985320226908587,57,0.9751067463706234,472112.0,1193.55,1.0,"{'Z2_UIZ': {'target_percent': 15, 'target_cells': 149, 'achieved_cells': 182, 'achievement_ratio': 1.221476510067114}, 'Z3_PSZ': {'target_percent': 15, 'target_cells': 185, 'achieved_cells': 194, 'achievement_ratio': 1.0486486486486486}, 'Z4_TZ': {'target_percent': 15, 'target_cells': 12, 'achieved_cells': 12, 'achievement_ratio': 1.0}, 'Z6_FZT': {'target_percent': 15, 'target_cells': 195, 'achieved_cells': 195, 'achievement_ratio': 1.0}}",0.9991887275832622,BLM_Calibration_real_macos_sweep/fixed_blm_blm_0.001.gpkg
sci_adaptive_blm,0.001,solved,0.2,1.0,171000.0,11375500.0,11546500.0,0.9851903174122029,60,0.9751067463706234,473966.0,1191.77,1.0,"{'Z2_UIZ': {'target_percent': 15, 'target_cells': 149, 'achieved_cells': 182, 'achievement_ratio': 1.221476510067114}, 'Z3_PSZ': {'target_percent': 15, 'target_cells': 185, 'achieved_cells': 194, 'achievement_ratio': 1.0486486486486486}, 'Z4_TZ': {'target_percent': 15, 'target_cells': 12, 'achieved_cells': 12, 'achievement_ratio': 1.0}, 'Z6_FZT': {'target_percent': 15, 'target_cells': 195, 'achieved_cells': 195, 'achievement_ratio': 1.0}}",0.9994876174210077,BLM_Calibration_real_macos_sweep/sci_adaptive_blm_blm_0.001.gpkg
